Specimen,Group,Genus,Species,Diet,RFI,DNE,OPCR,SRL,SQ
USNM 171063,Platyrrhini,Alouatta,Alouatta palliata aequatorialis,Folivory,0.569,167.027,52.25,3.05,-0.174
USNM 284782,Platyrrhini,Alouatta,Alouatta palliata aequatorialis,Folivory,0.594,207.057,53.625,3.362,2.719
USNM 290601,Platyrrhini,Alouatta,Alouatta palliata aequatorialis,Folivory,0.547,178.497,53.25,3.002,-0.676
SB N Al 13,Platyrrhini,Alouatta,Alouatta seniculus,Folivory,0.572,170.393,51.625,3.092,-0.83
USNM 123517,Platyrrhini,Alouatta,Alouatta seniculus,Folivory,0.536,172.125,54,2.986,-1.486
USNM 281658,Platyrrhini,Alouatta,Alouatta seniculus,Folivory,0.557,170.079,54.625,3.03,-0.929
USNM 281673,Platyrrhini,Alouatta,Alouatta seniculus,Folivory,0.56,203.928,54.375,3.207,0.972
USNM 281741,Platyrrhini,Alouatta,Alouatta seniculus,Folivory,0.555,193.88,62.25,3.09,-0.648
USNM 281751,Platyrrhini,Alouatta,Alouatta seniculus,Folivory,0.525,174.021,56.75,3.136,-1.696
USNM 281758,Platyrrhini,Alouatta,Alouatta seniculus,Folivory,0.577,206.327,54.625,3.203,0.644
AMNH 211460,Platyrrhini,Aotus,Aotus azarae,Frugivory,0.557,137.633,56.875,2.614,-1.572
AMNH 211465,Platyrrhini,Aotus,Aotus azarae,Frugivory,0.559,140.75,52.875,2.762,0.925
AMNH 147472,Platyrrhini,Aotus,Aotus nigriceps,Frugivory,0.545,143.37,51.125,3.025,1.273
AMNH 67246,Platyrrhini,Aotus,Aotus nigriceps,Frugivory,0.541,127.692,54.125,2.543,-2.263
AMNH 75996,Platyrrhini,Aotus,Aotus nigriceps,Frugivory,0.562,152.231,58.5,2.548,-1.756
AMNH 75999,Platyrrhini,Aotus,Aotus nigriceps,Frugivory,0.523,151.358,55.125,3.083,6.709
AMNH 76002,Platyrrhini,Aotus,Aotus nigriceps,Frugivory,0.513,139.276,57.375,2.921,-1.245
AMNH 92804,Platyrrhini,Aotus,Aotus nigriceps,Frugivory,0.525,143.784,55.875,2.649,0.949
AMNH 92809,Platyrrhini,Aotus,Aotus nigriceps,Frugivory,0.522,125.397,56.375,2.71,-0.244
USNM 364486,Platyrrhini,Aotus,Aotus nigriceps,Frugivory,0.553,141.199,54.125,2.682,1.463
AMNH 67102,Platyrrhini,Ateles,Ateles belzebuth,Frugivory,0.533,146.557,47.5,2.776,-1.128
AMNH 71787,Platyrrhini,Ateles,Ateles belzebuth,Frugivory,0.53,145.943,47.125,2.634,-4.607
AMNH 76882,Platyrrhini,Ateles,Ateles belzebuth,Frugivory,0.493,135.239,52.25,2.604,-6.231
USNM 241384,Platyrrhini,Ateles,Ateles belzebuth,Frugivory,0.496,120.224,53.75,2.605,-4.976
USNM 406674,Platyrrhini,Ateles,Ateles belzebuth,Frugivory,0.526,151.246,70.875,2.688,-4.48
USNM 406675,Platyrrhini,Ateles,Ateles belzebuth,Frugivory,0.508,158.952,54,2.877,-0.493
