SVL,Weight,HeadW,ShW,ThL,LoLegL,ThW,LLegW,Risk
14.297,0.166,4.755508783,4.370227117,5.7925,5.3955,2.257363209,1.422030787,low
12.977,0.167,4.814837103,3.968547021,5.675,5.026,2.273747253,1.461829639,null
13.5,0.167,4.753542074,4.284982779,5.376,4.573,2.31330206,1.545077699,null
13.535,0.167,4.802600304,4.275848704,5.617,4.7965,2.28992602,1.453998798,null
13.88,0.167,4.715937973,4.1413136,4.9035,4.6995,2.312833228,1.444454744,null
14.18,0.167,4.769173638,4.369228387,5.2275,5.098,2.331268312,1.378443856,null
14.553,0.167,4.908556664,4.030453779,5.4225,4.884,2.11586413,1.398454991,low
13.233,0.168,4.596939324,4.124710476,5.703,4.7505,2.041222143,1.335924955,null
13.301,0.168,4.828413975,4.101714588,4.63,3.7875,2.284277806,1.656630616,null
13.446,0.168,4.793144006,4.108513165,5.05,4.875,2.301658861,1.365962911,null
13.568,0.168,4.96395151,4.625197865,5.783,4.678,2.126038788,1.571240946,null
13.737,0.168,4.759611226,4.344210744,5.5025,4.8575,2.204611607,1.615752625,null
13.799,0.168,4.699328449,4.50969614,5.341,4.712,2.202658156,1.439945371,null
13.837,0.168,4.909916461,4.360857927,5.033,4.5295,2.490568188,1.471629398,null
13.905,0.168,4.824273902,4.499055149,5.807,5.1935,2.347231896,1.28466786,null
13.927,0.168,4.989114897,4.279066965,5.025,4.714,2.196427884,1.408847446,null
14.164,0.168,4.854337095,4.149460268,5.39,4.3765,2.307584663,1.471478886,null
13.232,0.169,4.447425619,4.415627882,5.5775,4.8465,2.136598798,1.451822834,null
13.271,0.169,4.683835919,4.345832982,5.191,4.394,2.247170934,1.450575208,null
13.53,0.169,4.733161234,4.296163961,5.71,5.051,2.088998541,1.451171165,null
13.853,0.169,4.685350781,4.415995511,5.7185,5.1525,2.256155136,1.393460643,null
13.98,0.169,4.912318836,4.471919467,5.7955,4.542,2.17623434,1.375196399,null
14.528,0.169,4.784359837,4.138013868,5.69,4.8335,2.193320119,1.40591625,low
13.758,0.17,4.659547428,4.317225335,5.2665,4.7965,2.334538897,1.531311309,null
13.969,0.17,4.709806793,4.066710742,5.049,4.6945,2.170085653,1.403721729,null
